City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,3.06,70,20,8.23,CL,1699936125
1,puerto natales,-51.7236,-72.4875,0.85,83,81,4.47,CL,1699936138
2,ma'rib,15.4591,45.3253,21.09,41,43,2.27,YE,1699936138
3,avarua,-21.2078,-159.775,23.03,64,40,3.09,CK,1699936120
4,qaqortoq,60.7167,-46.0333,-6.93,94,95,1.61,GL,1699935960
5,yigo village,13.5361,144.8886,30.62,73,75,9.77,GU,1699936139
6,zambezi,-13.5432,23.1047,20.98,71,99,0.72,ZM,1699935922
7,grytviken,-54.2811,-36.5092,1.66,98,100,3.31,GS,1699935922
8,xining,36.6167,101.7667,4.48,38,0,0.41,CN,1699935923
9,arkhangel'sk,64.5401,40.5433,-3.26,91,95,2.84,RU,1699935923
10,hamilton,39.1834,-84.5333,9.98,56,0,0.89,US,1699935923
11,queenstown,-31.8976,26.8753,10.36,80,85,3.32,ZA,1699935924
12,adamstown,-25.066,-130.1015,22.94,86,100,8.02,PN,1699935924
13,haapsalu,58.9431,23.5414,2.97,91,100,2.27,EE,1699935924
14,beau vallon,-20.4189,57.6953,26.79,78,40,3.6,MU,1699935925
15,natal,-5.795,-35.2094,26.36,83,40,3.6,BR,1699935925
16,ilha solteira,-20.4328,-51.3425,28.65,35,42,2.32,BR,1699935925
17,jamestown,42.097,-79.2353,7.77,67,0,5.66,US,1699935916
18,waitangi,-43.9535,-176.5597,16.01,84,8,2.24,NZ,1699935927
19,bethel,41.3712,-73.414,4.79,82,0,1.54,US,1699935928
20,utrik,11.2278,169.8474,27.97,81,100,8.3,MH,1699935900
21,la passe,45.5549,-0.8967,15.13,90,100,3.98,FR,1699935928
22,aasiaat,68.7098,-52.8699,-11.17,82,100,1.29,GL,1699935928
23,san patricio,28.017,-97.5169,17.13,88,100,5.22,US,1699935888
24,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699935848
25,invercargill,-46.4,168.35,9.45,91,89,9.83,NZ,1699935863
